,MOSQUI,CHIRON,MITESS,COPEPO,CLADOC,BLAESO,NEMATO,AMPHIP,GASTRI,TARDIG,ROTHAB,ROTLOR,ROTUNK
SUM,0.931,1.357,0.771,0.267,0.417,0,0,0,0,0,23.75,80,0
NAC,2.22,0.132,1.935,1.048,0,0,0.333,0,0,0,60,55,10
BAU,3.612,0.485,1.767,0,0,0.188,0,0,0,0,156.667,10,10
CRE,1.882,2.294,0.714,1.753,0,0.5,0.177,0,0,0,88.889,0,0
BAY,1.045,1.684,2.958,0,0,0,0.2,0,0,0,30,0,50
GEO,2.406,1.676,3.756,0.547,0,0,0,0,0,0,25,0,0
GRS,0.679,0.804,1.413,0,0.429,0.095,0,0,0,0,76.25,0,0
CHE,0.949,1.435,0,0,0,0,0,0,0,0,0,0,0
VIR,0.436,6.061,0.2,0,0,0,0,0,0,0,20,0,0
HIL,0,0.853,2,7.882,0,0,0.143,0,0,0,15,20,20
ARD,0.308,1.467,1.442,0,0,0.124,0,0,0,0,22.857,30,30
LEB,0.907,1.395,3.301,0,0,0.133,0,0,0,0,75,0,0
OHI,0.392,1.086,7.071,3.121,0.1,0,0,0,0,0,651.667,80,0
IND,0.355,2.259,3.384,0,0,0.181,0,0,0,0,517.5,0,0
SWR,0.333,0.316,0.51,0,0,0.068,0,0,0,0,90,40,0
MIS,0.725,0.434,2.323,0.521,10,0,0,0,0,0,672.222,85,0
HEA,0.323,0.32,0.679,0,0,0.816,0,0,0,0,99,0,0
TUP,0.247,0.04,0.754,0.326,0,0.091,5.2,0,0,0,130,42.857,13.333
MAI,0.452,0.559,3.007,0,0,0.145,0,0,0,0,317.692,0,0
PET,1.837,1.026,12.408,0.091,0,0.286,0,0.057,0,0,163.077,0,0
MOL,0.425,0.367,1.411,0,0,0.209,0,0,0,0,370,0,0
NSC,0.882,0.578,3.299,0,0,0.125,0,0,0,0,1128.571,0,0
ALG,0.335,0.298,2.907,0,0,0.08,0,0,0,0,134.615,0,0
GRA,0.569,1.774,2.475,14.442,0.333,0,0,0,0,0,275,40,0
NWB,0.868,0.325,2.151,0.267,0,0.072,0,0,0,0,135,0,0
PEI,2.326,0.606,6.293,2.534,2.033,0.271,0,0,0,0,91.25,0,30
WIS,0.448,1.128,3.032,0.976,0,0.223,0,0,0,0,28,0,0
QUS,0.694,0.381,4.518,0,0,0.2,0,0,0,0,1256.429,0,0
LAM,0.242,0.301,1.556,0.25,5.125,0.144,0,0,0,0,222.222,0,0
MIN,0.734,0.575,3.597,0,0,0.182,0,0,0,0,504,0,0
PUK,0.981,0.754,2.758,3.053,0,0,0.2,0,0.133,0,410,0,0
WIN,0.445,0.449,1.195,0,0,0.063,0,0,0,0,246.364,0,0
PAP,0.837,2.505,2.538,0,0,0.2,0,0,0,0,151.818,0,0
RAD,0.2,1.603,0.943,2.859,0.118,0,0.235,0,0,0,248.125,40,10
CWL,1.119,0.634,1.136,0,0,0.2,0,0,0,0,166.875,0,0
MEA,0.085,1.632,0.912,0,0,0,0,0,0,0,356,0,10
MAY,0.692,3.123,3.321,0,0,0,0,0,0,0,205.833,0,0
FTN,0,0,5.929,0,0,0,1.308,0,0.2,0.1,3789.474,30,0
ALB,0.772,2.74,4.01,0,0,0,0,0,0,0,381.667,0,0
