"","Alectoris.chukar","Francolinus.francolinus","Francolinus.pondicerianus","Francolinus.erckelii","Coturnix.japonica","Gallus.gallus","Lophura.leucomelanos","Phasianus.colchicus","Pavo.cristatus","Meleagris.gallopavo","Callipepla.californica","Callipepla.gambelii","Dendrocygna.bicolor","Branta.sandvicensis","Anas.platyrhynchos","Anas.wyvilliana","Psittacula.krameri","Collocalia.fuciphaga","Tyto.alba","Asio.flammeus","Columba.livia","Streptopelia.chinensis","Geopelia.striata","Zenaida.macroura","Porzana.sandwichensis","Gallinula.chloropus","Fulica.alai","Pterocles.exustus","Himantopus.mexicanus","Sterna.lunata","Sterna.fuscata","Anous.stolidus","Anous.minutus","Gygis.alba","Buteo.solitarius","Phaethon.rubricauda","Phaethon.lepturus","Sula.dactylatra","Sula.sula","Sula.leucogaster","Bubulcus.ibis","Nycticorax.nycticorax","Fregata.minor","Pterodroma.sandwichensis","Bulweria.bulwerii","Puffinus.pacificus","Puffinus.nativitatis","Puffinus.auricularis","Diomedea.immutabilis","Oceanodroma.castro","Moho.braccatus","Moho.apicalis","Moho.bishopi","Moho.nobilis","Chaetoptila.angustipluma","Corvus.hawaiiensis","Chasiempis.sandwichensis","Myadestes.myadestinus","Myadestes.oahensis","Myadestes.lanaiensis","Myadestes.obscurus","Myadestes.palmeri","Copsychus.malabaricus","Acridotheres.tristis","Mimus.polyglottos","Pycnonotus.jocosus","Pycnonotus.cafer","Zosterops.japonicus","Cettia.diphone","Garrulax.pectoralis","Garrulax.caerulatus","Garrulax.canorus","Leiothrix.lutea","Alauda.arvensis","Passer.domesticus","Uraeginthus.bengalus","Estrilda.caerulescens","Estrilda.melpoda","Estrilda.astrild","Amandava.amandava","Lonchura.cantans","Lonchura.punctulata","Lonchura.malacca","Padda.oryzivora","Serinus.mozambicus","Carpodacus.mexicanus","Psittirostra.psittacea","Dysmorodrepanis.munroi","Loxioides.bailleui","Rhodacanthis.flaviceps","Rhodacanthis.palmeri","Chloridops.kona","Pseudonestor.xanthophrys","Viridonia.stejnegeri","Viridonia.virens","Viridonia.parva","Viridonia.sagittirostris","Hemignathus.obscurus","Hemignathus.lucidus","Hemignathus.wilsoni","Oreomystis.bairdi","Oreomystis.mana","Paroreomyza.montana","Paroreomyza.flammea","Paroreomyza.maculata","Loxops.caeruleirostris","Loxops.coccineus","Ciridops.anna","Vestiaria.coccinea","Drepanis.pacifica","Drepanis.funerea","Palmeria.dolei","Himatione.sanguinea","Melamprosops.phaeosoma","Paroaria.coronata","Paroaria.capitata","Sicalis.flaveola","Tiaris.olivacea","Cardinalis.cardinalis","Sturnella.neglecta"
"Kauai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Oahu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Molokai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"Lanai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Maui",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
"Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
"KauaiCur",1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
"OahuCur",0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
"MolokaiCur",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
"LanaiCur",1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"MauiCur",1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0
"HawaiiCur",1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
